ID,Player Type,Winner?,Points,Total Money,Money from GO,Money from Chest,Money from properties,Starting Position,Number of Moves,Path,Times Passed Go,Times in Jail,Properties,Chest Cards,Chest Card Payout,Total Wait
1.0,greedy,Winner,3.0,13000,6000.0,2000,9000,0,26,"[6, 8, 11, 17, 23, 28, 0, 5, 11, 13, 14, 17, 20, 25, 30, 3, 9, 15, 17, 22, 25, 28, 30, 2, 5, 10]",6.0,0.0,"[6, 17, 23, 28, 14, 20, 30, 3, 10]","[3, 4, 12]","[[3, 2000]]",19.650000000000006
2.0,greedy,Loser,3.0,11000,6000.0,0,10000,0,27,"[2, 8, 13, 16, 21, 25, 29, 1, 4, 7, 13, 18, 19, 24, 8, 12, 16, 22, 23, 28, 31, 0, 4, 7, 10, 15, 17, 19]",6.0,1.0,"[2, 13, 21, 25, 29, 1, 4, 12, 22, 7]","[9, 5, 10]",[],19.99
3.0,greedy,Loser,4.0,10000,5000.0,0,8000,0,29,"[5, 6, 11, 13, 15, 18, 19, 21, 26, 31, 1, 5, 8, 9, 13, 14, 15, 17, 23, 29, 1, 5, 9, 14, 16, 19, 21, 27, 29]",5.0,0.0,"[5, 11, 15, 18, 19, 26, 9, 27]","[11, 8, 2]",[],19.970000000000006
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,11,20.12031555175781,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Winner,4.0,17000,6000.0,2000,13000,0,27,"[2, 7, 9, 15, 17, 21, 25, 30, 2, 5, 11, 15, 18, 24, 8, 12, 16, 19, 23, 25, 28, 29, 31, 4, 9, 11, 16, 20]",6.0,1.0,"[2, 9, 15, 21, 30, 18, 28, 29, 31]","[9, 5, 4]","[[9, 2000]]",19.820000000000007
2.0,greedy,Loser,3.0,11000,6000.0,0,9000,0,27,"[2, 7, 13, 17, 19, 25, 30, 2, 5, 10, 12, 18, 23, 24, 8, 12, 13, 14, 20, 24, 8, 11, 14, 20, 25, 29, 31, 1, 5]",6.0,2.0,"[7, 13, 17, 19, 25, 5, 23, 14, 1]","[11, 7, 6]",[],20.02
3.0,greedy,Loser,4.0,15000,6000.0,4000,8000,0,29,"[6, 7, 10, 11, 17, 20, 26, 30, 2, 6, 12, 17, 18, 19, 23, 27, 30, 4, 9, 12, 16, 20, 21, 25, 29, 2, 6, 7, 12]",6.0,0.0,"[6, 10, 11, 20, 26, 12, 27, 4]","[3, 1, 12]","[[3, 2000], [1, 2000]]",19.71
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,12,20.14016342163086,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,4.0,13000,6000.0,2000,8000,0,29,"[4, 5, 6, 10, 11, 12, 16, 19, 21, 26, 0, 3, 5, 9, 10, 12, 14, 20, 26, 0, 5, 7, 13, 14, 17, 23, 28, 31, 3]",6.0,0.0,"[4, 5, 10, 19, 21, 26, 3, 13]","[7, 1, 4]","[[1, 2000]]",20.06
2.0,greedy,Winner,4.0,14000,6000.0,1000,11000,0,28,"[6, 8, 12, 14, 17, 18, 22, 26, 30, 0, 6, 11, 14, 18, 20, 25, 29, 2, 6, 9, 11, 16, 20, 26, 31, 2, 3, 4]",6.0,0.0,"[6, 12, 14, 17, 18, 22, 25, 29, 31]","[6, 12, 8]","[[12, 1000]]",19.810000000000006
3.0,greedy,Loser,4.0,13000,6000.0,2000,10000,0,27,"[1, 7, 11, 15, 20, 23, 29, 2, 3, 4, 8, 9, 13, 17, 23, 26, 28, 0, 4, 9, 15, 19, 23, 27, 30, 4, 6]",6.0,0.0,"[1, 7, 11, 15, 20, 23, 2, 28, 9, 27]","[9, 3, 5]","[[3, 2000]]",19.66
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,13,20.12129282951355,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,4.0,12000,5000.0,2000,9000,0,27,"[4, 6, 11, 15, 19, 24, 8, 13, 16, 18, 20, 24, 8, 11, 15, 16, 19, 24, 8, 12, 16, 19, 23, 28, 29, 30, 1, 2, 4, 8]",5.0,3.0,"[4, 11, 15, 19, 12, 23, 28, 29, 30]","[12, 9, 1]","[[1, 2000]]",20.06
2.0,greedy,Loser,4.0,14000,6000.0,0,11000,0,29,"[6, 7, 10, 14, 16, 18, 20, 21, 24, 8, 14, 17, 20, 21, 26, 29, 3, 5, 7, 9, 14, 19, 23, 28, 30, 1, 6, 12, 17, 20]",6.0,1.0,"[6, 7, 10, 14, 18, 20, 17, 5]","[8, 2, 4]",[],19.910000000000004
3.0,greedy,Winner,5.0,19000,5000.0,4000,14000,0,28,"[3, 8, 13, 16, 21, 25, 26, 27, 28, 1, 3, 6, 9, 10, 14, 18, 22, 24, 8, 14, 16, 19, 23, 29, 0, 2, 4, 6, 7]",5.0,1.0,"[3, 13, 21, 25, 26, 27, 1, 22, 2]","[3, 7, 10]","[[3, 2000], [10, 1000], [10, 1000]]",19.870000000000005
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,14,20.00071859359741,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Winner,5.0,15000,5000.0,5000,10000,0,26,"[4, 7, 8, 14, 19, 20, 21, 27, 30, 4, 6, 7, 8, 10, 12, 13, 18, 24, 8, 11, 14, 18, 22, 28, 30, 31, 3]",5.0,1.0,"[4, 14, 19, 20, 27, 30, 13, 18, 28, 3]","[1, 11, 5]","[[1, 2000], [11, 1000], [11, 1000], [11, 1000]]",19.720000000000006
2.0,greedy,Loser,4.0,11000,6000.0,0,8000,0,28,"[5, 6, 9, 15, 21, 23, 27, 29, 31, 2, 6, 9, 15, 21, 25, 29, 1, 6, 11, 15, 20, 23, 25, 28, 29, 1, 7, 8]",6.0,0.0,"[5, 6, 9, 15, 21, 23, 25, 29]","[7, 12, 4]",[],19.87
3.0,greedy,Loser,5.0,10000,5000.0,0,8000,0,28,"[2, 7, 8, 10, 11, 12, 14, 20, 21, 22, 24, 8, 14, 20, 26, 27, 1, 4, 10, 12, 15, 18, 24, 8, 12, 13, 19, 21, 25, 26]",5.0,2.0,"[2, 7, 10, 11, 12, 22, 26, 1]","[8, 6, 10]",[],19.76
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,15,20.000078916549683,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,5.0,13000,6000.0,2000,6000,0,30,"[1, 6, 8, 12, 17, 20, 24, 8, 11, 13, 15, 17, 19, 24, 8, 11, 13, 18, 20, 26, 0, 5, 6, 8, 13, 17, 19, 20, 21, 27, 30, 2]",6.0,2.0,"[1, 12, 11, 13, 5, 30]","[5, 6, 1]","[[1, 2000]]",19.680000000000007
2.0,greedy,Winner,5.0,19000,6000.0,5000,13000,0,26,"[6, 10, 15, 17, 19, 24, 8, 9, 12, 18, 21, 26, 30, 2, 6, 12, 15, 18, 24, 8, 12, 18, 20, 26, 27, 29, 1, 3]",6.0,2.0,"[10, 15, 17, 19, 9, 18, 26, 2, 29, 3]","[4, 11, 12]","[[4, 4000], [12, 1000]]",19.910000000000007
3.0,greedy,Loser,5.0,16000,6000.0,2000,12000,0,28,"[6, 10, 14, 20, 21, 22, 24, 8, 11, 15, 18, 21, 27, 31, 2, 8, 11, 13, 14, 15, 16, 17, 23, 27, 0, 6, 7, 12, 16]",6.0,1.0,"[6, 14, 20, 21, 22, 27, 31, 23, 7]","[8, 2, 9]","[[2, 2000]]",19.8
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,16,20.112942934036255,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,5.0,10000,5000.0,0,8000,0,29,"[6, 11, 14, 18, 24, 8, 13, 14, 17, 18, 22, 28, 0, 3, 7, 9, 10, 14, 15, 20, 22, 26, 27, 1, 3, 5, 10, 11, 14, 15]",5.0,1.0,"[6, 11, 14, 18, 13, 28, 3, 7]","[7, 9, 4]",[],20.01
2.0,greedy,Loser,5.0,10000,5000.0,0,8000,0,28,"[1, 5, 10, 11, 16, 19, 20, 21, 25, 27, 28, 0, 2, 8, 13, 14, 18, 21, 26, 27, 29, 3, 4, 10, 14, 17, 18, 21]",5.0,0.0,"[1, 5, 10, 19, 20, 25, 27, 4]","[5, 6, 12]",[],19.810000000000006
3.0,greedy,Winner,6.0,17000,5000.0,2000,14000,0,27,"[2, 8, 9, 11, 17, 18, 21, 22, 26, 27, 29, 0, 5, 11, 14, 19, 23, 26, 29, 2, 5, 10, 13, 18, 22, 28, 31]",5.0,0.0,"[2, 9, 17, 21, 22, 26, 23, 29, 31]","[8, 11, 1]","[[1, 2000]]",19.84
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,17,20.000036716461178,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,5.0,12000,5000.0,2000,9000,0,28,"[6, 12, 13, 15, 20, 22, 23, 28, 0, 3, 5, 9, 15, 20, 21, 24, 8, 10, 14, 18, 23, 26, 29, 30, 0, 6, 11, 12, 13]",5.0,1.0,"[6, 12, 13, 15, 20, 22, 18, 23, 26]","[2, 5, 3]","[[3, 2000]]",19.74
2.0,greedy,Winner,6.0,16000,5000.0,2000,11000,0,30,"[1, 3, 6, 8, 9, 10, 13, 19, 24, 8, 12, 16, 20, 21, 24, 8, 9, 11, 16, 20, 22, 25, 31, 2, 5, 6, 12, 14, 19, 23, 26, 29]",5.0,2.0,"[1, 3, 10, 19, 11, 31, 29]","[7, 10, 9]","[[10, 1000], [10, 1000]]",19.739999999999995
3.0,greedy,Loser,6.0,11000,6000.0,0,9000,0,28,"[2, 5, 9, 10, 16, 21, 25, 27, 29, 2, 5, 6, 10, 14, 17, 23, 28, 1, 7, 12, 16, 18, 24, 8, 10, 14, 17, 19, 23]",6.0,1.0,"[2, 5, 9, 21, 25, 27, 14, 17, 7]","[6, 12, 4]",[],19.84
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,18,20.17695021629333,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,5.0,13000,6000.0,2000,8000,0,29,"[2, 3, 6, 10, 15, 16, 19, 23, 29, 1, 6, 11, 15, 20, 26, 27, 30, 3, 8, 12, 16, 19, 24, 8, 9, 14, 15, 20, 24, 8, 13]",6.0,2.0,"[2, 6, 10, 15, 19, 29, 1, 26]","[1, 9, 8]","[[1, 2000]]",19.89
2.0,greedy,Loser,6.0,13000,6000.0,2000,9000,0,29,"[3, 7, 12, 17, 23, 25, 28, 0, 2, 8, 12, 17, 23, 28, 0, 3, 4, 6, 9, 10, 11, 17, 22, 23, 29, 31, 0, 5, 11]",6.0,0.0,"[3, 7, 12, 17, 23, 25, 4, 22, 31]","[2, 10, 5]","[[2, 2000]]",20.08
3.0,greedy,Winner,7.0,14000,5000.0,4000,9000,0,27,"[5, 8, 9, 11, 13, 16, 20, 25, 28, 31, 1, 7, 9, 14, 15, 18, 23, 25, 28, 30, 2, 6, 10, 15, 20, 21, 23]",5.0,0.0,"[5, 9, 11, 13, 20, 28, 14, 18, 21]","[3, 11, 12]","[[3, 2000], [11, 1000], [11, 1000]]",19.79
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,19,20.018668651580807,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,5.0,13000,6000.0,2000,9000,0,27,"[5, 11, 15, 17, 21, 27, 0, 6, 7, 11, 14, 17, 22, 23, 29, 2, 4, 10, 13, 15, 20, 22, 28, 0, 6, 8, 9]",6.0,0.0,"[5, 11, 15, 21, 27, 7, 22, 2, 28]","[6, 4, 1]","[[1, 2000]]",19.610000000000007
2.0,greedy,Loser,6.0,13000,6000.0,2000,7000,0,30,"[3, 5, 10, 14, 15, 19, 24, 8, 9, 10, 13, 15, 17, 20, 25, 29, 30, 4, 8, 11, 17, 23, 27, 0, 6, 11, 14, 16, 22, 24, 8, 12]",6.0,2.0,"[3, 10, 14, 19, 9, 13, 20]","[5, 3, 8]","[[3, 2000]]",19.940000000000012
3.0,greedy,Winner,8.0,14000,7000.0,2000,8000,0,28,"[6, 11, 17, 18, 23, 27, 29, 30, 0, 3, 4, 9, 15, 20, 25, 28, 30, 3, 9, 13, 16, 21, 24, 8, 14, 16, 21, 27, 0]",7.0,1.0,"[6, 17, 18, 23, 29, 30, 4, 25]","[12, 10, 2]","[[2, 2000]]",19.87
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,20,20.000324010849,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,5.0,13000,6000.0,2000,8000,0,29,"[6, 11, 17, 18, 23, 29, 30, 4, 7, 10, 12, 13, 19, 23, 29, 0, 5, 9, 14, 18, 22, 25, 29, 0, 4, 5, 9, 13, 15]",6.0,0.0,"[6, 11, 18, 23, 29, 12, 13, 22]","[4, 2, 12]","[[2, 2000]]",19.81
